CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-01-01 00:00,mm,24.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-02-01 00:00,mm,60.6,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-03-01 00:00,mm,58.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-04-01 00:00,mm,190.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-05-01 00:00,mm,393,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-06-01 00:00,mm,304.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-07-01 00:00,mm,461.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-08-01 00:00,mm,208.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-09-01 00:00,mm,239.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-10-01 00:00,mm,165.9,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-11-01 00:00,mm,192.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2020-12-01 00:00,mm,30,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-01-01 00:00,mm,79.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-02-01 00:00,mm,49.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-03-01 00:00,mm,204.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-04-01 00:00,mm,361.6,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-05-01 00:00,mm,432.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-06-01 00:00,mm,532.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-07-01 00:00,mm,394.9,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-08-01 00:00,mm,419.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-09-01 00:00,mm,264.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-10-01 00:00,mm,270.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-11-01 00:00,mm,174.1,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2021-12-01 00:00,mm,7.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-01-01 00:00,mm,25,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-02-01 00:00,mm,83.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-03-01 00:00,mm,168.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-04-01 00:00,mm,292.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-05-01 00:00,mm,487.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-06-01 00:00,mm,263.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-07-01 00:00,mm,479.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-08-01 00:00,mm,351.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-09-01 00:00,mm,206,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-10-01 00:00,mm,173.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-11-01 00:00,mm,113.9,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2022-12-01 00:00,mm,29.1,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-01-01 00:00,mm,203.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-02-01 00:00,mm,38.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-03-01 00:00,mm,196.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-04-01 00:00,mm,245.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-05-01 00:00,mm,269.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-06-01 00:00,mm,476.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-07-01 00:00,mm,622.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-08-01 00:00,mm,308.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-09-01 00:00,mm,248.6,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-10-01 00:00,mm,130.9,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-11-01 00:00,mm,131.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2023-12-01 00:00,mm,97.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2024-01-01 00:00,mm,9.9,Preliminar
