Embalse,Periodo,Codigo EC,Caudal,Codigo EP,Precipitacion
Neusa,2015-1s,3103530,53.5734028417819,21201180,49.5666666666667
Neusa,2015-2s,3103530,32.7292125448029,21201180,33.75
Neusa,2016-1s,3103530,39.3685533802991,21201180,61.1166666666667
Neusa,2016-2s,3103530,64.2117745519713,21201180,76.9833333333333
Neusa,2017-1s,3103530,99.2683477470558,21201180,85.3833333333333
Neusa,2017-2s,3103530,59.5295408602151,21201180,66.5833333333333
Neusa,2018-1s,3103530,108.566425691244,21201180,83.35
Neusa,2018-2s,3103530,70.6936268817204,21201180,47.7666666666667
Neusa,2019-1s,3103530,97.6521153353815,21201180,83
Neusa,2019-2s,3103530,52.223214874552,21201180,53.3333333333333
Neusa,2020-1s,3103530,43.3831186379928,21201180,60.2333333333333
Neusa,2020-2s,3103530,70.198902688172,21201180,78.8666666666667
Neusa,2021-1s,3103530,99.0238637992832,21201180,92.5
Neusa,2021-2s,3103530,89.5634621863799,21201180,85.8166666666667
Neusa,2022-1s,3103530,,21201180,111.1
Neusa,2022-2s,3103530,,21201180,99.1666666666667
Neusa,2023-1s,3103530,,21201180,71.85
Neusa,2023-2s,3103530,,21201180,32.95
Neusa,2024-1s,3103530,,21201180,48.6666666666667
Neusa,2024-2s,3103530,,21201180,69.3
Neusa,2025-1s,3103530,,,
Tomine,2015-1s,3107250,114.432416321045,21200780,115.5
Tomine,2015-2s,3107250,166.288938709677,21200780,121.033333333333
Tomine,2016-1s,3107250,122.000351594364,21200780,86.8666666666667
Tomine,2016-2s,3107250,184.952069713262,21200780,105.766666666667
Tomine,2017-1s,3107250,114.74212890425,21200780,105.6
Tomine,2017-2s,3107250,171.888636917563,21200780,75.9
Tomine,2018-1s,3107250,160.04827109575,21200780,125.066666666667
Tomine,2018-2s,3107250,170.304883691756,21200780,112.1
Tomine,2019-1s,3107250,111.070863940092,21200780,97.5166666666667
Tomine,2019-2s,3107250,151.342640681004,21200780,91.9
Tomine,2020-1s,3107250,90.8850108515635,21200780,111.883333333333
Tomine,2020-2s,3107250,146.953855197133,21200780,73.0333333333333
Tomine,2021-1s,3107250,131.793515745008,21200780,125.066666666667
Tomine,2021-2s,3107250,202.182136363636,21200780,114.9
Tomine,2022-1s,3107250,,21200780,83.4666666666667
Tomine,2022-2s,3107250,,21200780,120.016666666667
Tomine,2023-1s,3107250,,21200780,123.666666666667
Tomine,2023-2s,3107250,,21200780,121.316666666667
