CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-11-01 00:00,mm,191.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-12-01 00:00,mm,116.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-01-01 00:00,mm,9.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-02-01 00:00,mm,85.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-03-01 00:00,mm,97,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-04-01 00:00,mm,195,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-05-01 00:00,mm,338.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-06-01 00:00,mm,388.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-07-01 00:00,mm,114.2,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-08-01 00:00,mm,202.3,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-09-01 00:00,mm,165.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-10-01 00:00,mm,257.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-11-01 00:00,mm,225.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2024-12-01 00:00,mm,198,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-01-01 00:00,mm,130.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-02-01 00:00,mm,297.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-03-01 00:00,mm,156.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-04-01 00:00,mm,372,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-05-01 00:00,mm,389.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-06-01 00:00,mm,381.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-07-01 00:00,mm,94.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-08-01 00:00,mm,357.2,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-09-01 00:00,mm,343.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-10-01 00:00,mm,372.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-11-01 00:00,mm,301.3,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2025-12-01 00:00,mm,174.4,Preliminar
