idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
9e491b,"Datos soporte del proceso de Contratos por Código sic agente, Recurso, versión y horaria",2023-09-29T01:26:22.153,2025-12-13T10:29:45.92,2013-01-01T00:00:00,2025-12-08T00:00:00,2025-04-25T15:11:36.15,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=9e491b,https://www.simem.co/datadetail/9e491bb3-a304-4ee7-a052-b7451b461e41,Público
AEE7B3,Oportunidad en la entrega de información por parte de los agentes de contratos UNR,2024-04-24T08:15:16.13,2025-12-09T16:31:54.137,2023-01-01T00:00:00,2024-01-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=AEE7B3,https://www.simem.co/datadetail/aee7b301-4e49-4ab5-b5dd-b75aa46b05b4,Público
F99E13,Listado de Subestaciones del STN y el STR,2024-01-17T07:10:39.91,2025-12-13T07:19:55.003,2022-01-07T00:00:00,2025-12-12T00:00:00,2024-11-11T11:45:10.173,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=F99E13,https://www.simem.co/datadetail/f99e13de-7e81-4634-baa3-b7b394881831,Público
500C35,DemandaRealORAgente,2025-03-07T10:41:52.623,2025-11-19T20:18:28.497,2024-10-01T00:00:00,2025-09-02T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=500C35,https://www.simem.co/datadetail/500c3523-c34f-4247-9cfc-b96de22bad15,Público
9a387a,Porcentaje Estimado de cobertura con contratos de convocatorias del SICEP para el mercado regulado,2023-09-29T10:21:07.233,2025-12-05T13:21:49.64,2023-11-01T00:00:00,2030-11-01T00:00:00,2025-04-29T14:23:05.493,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=9a387a,https://www.simem.co/datadetail/9a387a9f-1793-42cf-9700-ba1c2c77c4e3,Público
caeff0,Informe trimestral de planeamiento operativo eléctrico de mediano plazo,2023-09-30T13:01:42.7,2025-10-01T10:15:28.343,2022-01-01T00:00:00,2025-07-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=caeff0,https://www.simem.co/datadetail/caeff05c-a2f3-48ac-8652-ba5f76a926ec,Público
34FFDA,Aportes Hídricos en Porcentaje,2023-09-29T12:21:44.29,2025-12-13T08:27:27.197,2013-01-01T00:00:00,2025-12-12T00:00:00,2025-03-30T09:17:20.623,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=34FFDA,https://www.simem.co/datadetail/34ffda33-2a8d-422d-925a-ba75088d434d,Público
90b78a,Porcentaje Estimado de cobertura con contratos entre agentes,2023-09-29T09:41:31.13,2025-12-05T13:21:16.39,2023-11-01T00:00:00,2030-11-01T00:00:00,2025-05-02T16:33:54.823,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=90b78a,https://www.simem.co/datadetail/90b78a72-e014-4d43-b281-baba6879622b,Público
fe1a54,Estudio Esquema de Desconexión Automático de Carga EDAC,2023-09-30T22:54:24.613,2025-02-12T08:22:38.813,2022-01-01T00:00:00,2025-01-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=fe1a54,https://www.simem.co/datadetail/fe1a5468-1833-42b3-a440-bb1cd5299784,Público
d760bb,"Precios y estadísticas de los contratos entre agentes, por año de suscripción y por comercializador",2023-09-29T16:16:08.363,2025-12-11T13:34:08.27,2013-01-01T00:00:00,2025-11-01T00:00:00,2025-02-15T17:02:56.143,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=d760bb,https://www.simem.co/datadetail/d760bba8-6cff-4e6c-bc5e-bb342e7abd59,Público
88BAC7,Estado del reporte de facturación de Contratos UNR,2024-05-27T18:50:29.843,2025-12-13T04:13:36.62,2024-04-01T00:00:00,2025-11-20T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=88BAC7,https://www.simem.co/datadetail/88bac704-bfc4-4d7a-81c6-bbef5050bd2e,Público
8b732d,Duración promedio de los contratos entre agentes,2023-09-30T07:32:56.903,2025-12-05T13:17:00.263,2023-09-01T00:00:00,2030-11-01T00:00:00,2025-02-24T09:16:33.44,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=8b732d,https://www.simem.co/datadetail/8b732de2-eb53-4bc5-abfc-bc976ca4537b,Público
aecac4,Costo Equivalente Real de Energía (CERE),2025-09-10T17:14:08.15,2025-12-10T17:16:41.517,2021-01-01T00:00:00,2025-11-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=aecac4,https://www.simem.co/datadetail/aecac40a-6ec9-4dd6-a794-bccb7d950035,Público
A88E47,Ventas en bolsa TIE en moneda,2024-11-07T10:33:56.017,2025-12-13T10:23:58.083,2021-01-01T00:00:00,2025-12-08T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=A88E47,https://www.simem.co/datadetail/a88e4711-493c-4c32-897c-bd5ebca99125,Público
cf0167,Costo Restricciones Asignadas al Agente,2023-09-26T08:53:41.753,2025-12-11T12:23:45.95,2013-01-01T00:00:00,2025-11-01T00:00:00,2025-04-09T11:24:12.953,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=cf0167,https://www.simem.co/datadetail/cf01679e-35d2-4c23-afeb-bfe3e0498ed7,Público
521384,Montos de garantías para cubrir las transacciones en el mercado de energía mayorista,2023-09-29T04:34:31.31,2025-12-13T12:10:44.28,2014-12-26T00:00:00,2025-12-05T00:00:00,2025-04-23T15:05:19.137,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=521384,https://www.simem.co/datadetail/521384a0-6402-4283-8fa4-c01dadc3fc9a,Público
02B289,Aportes Hídricos en Masa,2023-09-29T11:55:05.173,2025-12-13T08:26:34,2013-01-01T00:00:00,2025-12-12T00:00:00,2024-09-04T16:21:07.353,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=02B289,https://www.simem.co/datadetail/02b28971-0be5-45d1-8b0e-c164198e21cb,Público
6dc639,"Datos soporte del proceso de liquidación por Recurso, versión y diaria",2023-09-28T21:00:16.67,2025-11-19T20:26:18.453,2013-01-01T00:00:00,2025-09-08T00:00:00,2025-03-04T15:58:47.79,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=6dc639,https://www.simem.co/datadetail/6dc6394e-0fee-46eb-8caf-c248d7c75880,Público
086d86,Energía promedio de los contratos entre agentes del Sistema Interconectado Nacional,2023-09-28T17:44:50.007,2025-12-11T13:29:53.15,2013-01-01T00:00:00,2025-11-01T00:00:00,2025-04-08T10:04:19.44,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=086d86,https://www.simem.co/datadetail/086d8665-8ec6-4d3b-bace-c255389fba1f,Público
b7917a,"Datos soporte del proceso de Demandas por Código sic agente, versión y horaria",2023-09-28T23:10:00.453,2025-12-12T17:25:30.21,2013-01-01T00:00:00,2025-12-09T00:00:00,2025-03-20T09:46:41.86,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=b7917a,https://www.simem.co/datadetail/b7917a13-aac7-4360-8111-c2b081f39b10,Público
cc59b1,Listado de series hidrológicas,2025-09-04T11:09:03.16,2025-12-13T07:19:45.13,2025-01-01T00:00:00,2025-12-12T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=cc59b1,https://www.simem.co/datadetail/cc59b1b2-e8c6-4d6c-8744-c5541bfa148e,Público
9FDD00,Valor a pagar por la no prestación del servicio de regulación primaria de frecuencia,2025-03-07T16:09:33.467,2025-12-13T10:31:17.617,2013-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=9FDD00,https://www.simem.co/datadetail/9fdd0046-21b1-4c40-83de-c66e67f5c40b,Público
897043,Holgura horaria superior e inferior,2025-11-21T11:43:14.79,2025-12-13T10:29:00.21,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=897043,https://www.simem.co/datadetail/89704374-e2a8-4bf1-9cd5-c6c35c826a26,Público
1cdd5f,Precios y estadísticas de los contratos entre agentes integrados verticalmente por generador,2023-09-30T18:08:06.57,2025-12-11T13:27:38.32,2015-01-01T00:00:00,2025-11-01T00:00:00,2025-02-15T17:04:02.617,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=1cdd5f,https://www.simem.co/datadetail/1cdd5fd4-78d2-4d99-a357-c6fec0e6dabb,Público
48C79B,Precios de escasez promedio ponderado por agente,2023-09-28T23:09:41.523,2025-12-13T10:26:41.75,2021-01-01T00:00:00,2025-12-10T00:00:00,2024-09-09T18:55:37.893,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=48C79B,https://www.simem.co/datadetail/48c79bc9-7408-4d94-9135-c7ae0f7600f8,Público
