Embalse;Periodo;Codigo EC;Caudal;Codigo EP;Precipitacion;Ln(c);Ln(p)
;2015-1s;3103300;4641.57850742448;;;8.44280978293253;
;2015-2s;3103300;4575.53727598566;;;8.42847940818831;
;2016-1s;3103300;3754.56935138425;;;8.23072887090597;
;2016-2s;3103300;7245.96414157706;;;8.88819992272308;
;2017-1s;3103300;7358.36269504608;;;8.90359272706283;
;2017-2s;3103300;9407.29641218638;;;9.14924088122214;
;2018-1s;3103300;6719.18454962878;;;8.81272207937265;
;2018-2s;3103300;8445.96161290323;;;9.04144369048039;
;2019-1s;3103300;5963.81589071941;;;8.69346580530744;
;2019-2s;3103300;7385.53391057348;;;8.90727848897691;
;2020-1s;3103300;4201.04400730441;;;8.34308834654999;
;2020-2s;3103300;8741.9381172043;;;9.07588719660666;
;2021-1s;3103300;7118.84230910138;;;8.87050039414937;
;2021-2s;3103300;11091.7253937276;;;9.3139546492824;
;2022-1s;3103300;8388.47850053763;;;9.03461443623854;
;2022-2s;3103300;12270.6498129032;;;9.41496549578947;
;2023-1s;3103300;6573.56531280082;;;8.79081162985984;
;2023-2s;3103300;6078.94507616487;;;8.71258645269637;
;2024-1s;3103300;4643.97242136942;;;8.44332540424921;
;2024-2s;3103300;7845.91519802867;;;8.96774831840478;
;2025-1s;3103300;;;;;
Betania;2015-1s;3103450;488.261026625704;;;6.19085015347659;
Betania;2015-2s;3103450;294.960158422939;;;5.68684029102548;
Betania;2016-1s;3103450;411.682100061797;;;6.02025144971989;
Betania;2016-2s;3103450;474.787630824373;;;6.16286761105745;
Betania;2017-1s;3103450;658.639637583205;;;6.49017655273981;
Betania;2017-2s;3103450;494.875149641577;;;6.20430550780882;
Betania;2018-1s;3103450;460.85806625704;;;6.13309011328539;
Betania;2018-2s;3103450;449.302817383513;;;6.10769708666298;
Betania;2019-1s;3103450;450.711774129544;;;6.11082805345021;
Betania;2019-2s;3103450;478.328462724014;;;6.17029765701526;
Betania;2020-1s;3103450;455.942685045112;;;6.12236711092411;
Betania;2020-2s;3103450;497.359338530466;;;6.20931277999893;
Betania;2021-1s;3103450;582.221982488479;;;6.36685178822235;
Betania;2021-2s;3103450;635.551968996416;;;6.45449386383424;
Betania;2022-1s;3103450;547.289357782898;;;6.30497765301819;
Betania;2022-2s;3103450;544.428748566308;;;6.29973707718301;
Betania;2023-1s;3103450;575.219909639017;;;6.35475241922752;
Betania;2023-2s;3103450;425.74761218638;;;6.05384671103941;
Betania;2024-1s;3103450;;;;;
Betania;2024-2s;3103450;;;;;
Betania;2025-1s;3103450;;;;;
;2015-1s;3103465;13.1668813364055;;;2.57770468713685;
;2015-2s;3103465;9.58698888888889;;;2.26040685511733;
;2016-1s;3103465;10.0088580830552;;;2.30347050920292;
;2016-2s;3103465;12.9202120071685;;;2.55879290744339;
;2017-1s;3103465;17.0696351126472;;;2.83730116063454;
;2017-2s;3103465;14.4670227598566;;;2.67187176687194;
;2018-1s;3103465;19.6405696364567;;;2.97759730639862;
;2018-2s;3103465;25.4401019713262;;;3.23632674677074;
;2019-1s;3103465;18.8917332565284;;;2.93872443254654;
;2019-2s;3103465;12.859003046595;;;2.55404419221144;
;2020-1s;3103465;11.5384243233222;;;2.44568271131744;
;2020-2s;3103465;12.5052105734767;;;2.52614540333029;
;2021-1s;3103465;14.5227488991295;;;2.6757163096001;
;2021-2s;3103465;16.0004677419355;;;2.77261795568345;
;2022-1s;3103465;;;;;
;2022-2s;3103465;;;;;
;2023-1s;3103465;;;;;
;2023-2s;3103465;;;;;
;2024-1s;3103465;;;;;
;2024-2s;3103465;;;;;
;2025-1s;3103465;;;;;
;2015-1s;3103470;16.1845639272913;;;2.78405794399956;
;2015-2s;3103470;12.1140842293907;;;2.49436876159639;
;2016-1s;3103470;12.7031893338277;;;2.54185309058488;
;2016-2s;3103470;26.2533383512545;;;3.26779315623743;
;2017-1s;3103470;21.1362358806964;;;3.05098890785662;
;2017-2s;3103470;21.1820962365591;;;3.05315630772903;
;2018-1s;3103470;26.2190888376856;;;3.26648772707138;
;2018-2s;3103470;19.204238530466;;;2.95513101146564;
;2019-1s;3103470;20.8678156298003;;;3.03820805005308;
;2019-2s;3103470;18.1946892473118;;;2.90112975190271;
;2020-1s;3103470;39.9320542392782;;;3.68717936576431;
;2020-2s;3103470;42.1329082437276;;;3.74082910384172;
;2021-1s;3103470;41.6559850358423;;;3.72944505662879;
;2021-2s;3103470;37.2790363799283;;;3.61843114130543;
;2022-1s;3103470;27.800462532002;;;3.32505265839998;
;2022-2s;3103470;34.6750652329749;;;3.54602084746733;
;2023-1s;3103470;26.4643155657962;;;3.27579724311255;
;2023-2s;3103470;21.8113198924731;;;3.08242909614826;
;2024-1s;3103470;18.6411172413793;;;2.92536974530348;
;2024-2s;3103470;11.4361840363937;;;2.43678236705476;
;2025-1s;3103470;;;;;
;2015-1s;3103480;262.735038914491;;;5.57114606775337;
;2015-2s;3103480;126.194476702509;;;4.83782418292517;
;2016-1s;3103480;168.709717816092;;;5.12817959201908;
;2016-2s;3103480;242.940588172043;;;5.49281692032807;
;2017-1s;3103480;318.086082206861;;;5.76232204491159;
;2017-2s;3103480;284.548105197133;;;5.65090232608173;
;2018-1s;3103480;325.942331336406;;;5.78672046797737;
;2018-2s;3103480;264.840083512545;;;5.57912618538866;
;2019-1s;3103480;297.168750819252;;;5.69430016202357;
;2019-2s;3103480;203.644451433692;;;5.3163755881239;
;2020-1s;3103480;211.326243251761;;;5.35340311592444;
;2020-2s;3103480;302.863167741935;;;5.71328111190039;
;2021-1s;3103480;330.70527844342;;;5.80122758128589;
;2021-2s;3103480;338.493262365591;;;5.82450418776898;
;2022-1s;3103480;367.524764631336;;;5.90679070313444;
;2022-2s;3103480;334.605529749104;;;5.81295231486298;
;2023-1s;3103480;308.664155542755;;;5.73225381055434;
;2023-2s;3103480;213.251429928315;;;5.36247189175758;
;2024-1s;3103480;252.446250290446;;;5.5311983559185;
;2024-2s;3103480;216.197100909843;;;5.37619049581753;
;2025-1s;3103480;;;;;
;2015-1s;3103490;40.7336586789555;;;3.70705474524589;
;2015-2s;3103490;37.8865738351254;;;3.63459679695483;
;2016-1s;3103490;38.6538182610308;;;3.65464556086626;
;2016-2s;3103490;44.0751781362007;;;3.78589676993659;
;2017-1s;3103490;51.1409920378904;;;3.93458636814752;
;2017-2s;3103490;41.3020686379928;;;3.72091258679961;
;2018-1s;3103490;45.9711136584741;;;3.82801323529094;
;2018-2s;3103490;40.9199137992832;;;3.71161683451433;
;2019-1s;3103490;42.9429911930364;;;3.75987344985302;
;2019-2s;3103490;41.2947044802867;;;3.72073427092969;
;2020-1s;3103490;37.1302680447411;;;3.61443248725103;
;2020-2s;3103490;37.2585109318996;;;3.61788040012095;
;2021-1s;3103490;48.70790531234;;;3.88584134365708;
;2021-2s;3103490;46.452214516129;;;3.83842413938992;
;2022-1s;3103490;54.4890527777778;;;3.99799981503004;
;2022-2s;3103490;54.603870609319;;;4.00010477051883;
